Area;Total;0-4y;5-9y;10-14y;15-19y;20-24y;25-29y;30-34y;35-39y;40-44y;45-49y;50-54y;55-59y;60-64y;65-69y;70-74y;75-79y;80-84y;85-89y;90-y
Sonkajärvi;3809;119;154;190;173;96;120;147;180;175;164;251;328;393;402;357;215;175;108;62
Sotkamo;9956;407;523;553;543;345;395;436;586;618;518;636;761;865;841;730;488;337;229;145
Sottunga;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
Sulkava;2404;51;74;71;115;78;87;77;93;74;110;146;211;252;241;266;165;147;88;58
Sund;49;3;1;2;2;1;1;1;4;7;4;3;5;2;4;5;1;2;0;1
Suomussalmi;7362;171;268;272;318;160;197;232;285;333;334;518;671;747;848;764;476;380;258;130
Suonenjoki;6776;237;316;329;316;218;250;300;361;365;359;411;512;551;617;598;410;304;195;127
Sysmä;3553;74;112;110;138;81;92;94;109;112;176;229;311;355;369;409;306;237;143;96
Säkylä;6467;221;281;334;312;211;229;291;317;316;334;476;512;534;580;574;396;255;196;98
Taipalsaari;4392;147;245;272;270;101;165;177;206;278;261;304;362;406;374;336;218;143;90;37
Taivalkoski;3842;130;177;248;200;136;162;162;145;143;169;273;319;373;364;320;208;176;92;45
Taivassalo;1564;59;70;76;57;30;43;70;80;81;69;94;134;145;159;142;97;68;49;41
Tammela;5889;228;264;382;344;207;210;225;299;304;341;458;477;498;464;480;264;209;141;94
Tampere;220141;8952;9768;9420;10200;21710;21623;17509;15516;12981;10831;11813;12413;12150;11921;12676;8620;6005;3758;2275
