"","date","BTC","SP500"
"587","2015-06-18",244.130005,2121.23999
"588","2015-06-19",244.979996,2109.98999
"589","2015-06-22",243.759995,2122.850098
"590","2015-06-23",240.559998,2124.199951
"591","2015-06-24",242.559998,2108.580078
"592","2015-06-25",242.949997,2102.310059
"593","2015-06-26",250.729996,2101.48999
"594","2015-06-29",264.119995,2057.639893
"595","2015-06-30",257.619995,2063.110107
"596","2015-07-01",254.880005,2077.419922
"597","2015-07-02",255.399994,2076.780029
"598","2015-07-06",266.209991,2068.76001
"599","2015-07-07",268.640015,2081.340088
"600","2015-07-08",269.140015,2046.680054
"601","2015-07-09",283.619995,2051.310059
"602","2015-07-10",291.970001,2076.620117
"603","2015-07-13",286.959991,2099.600098
"604","2015-07-14",283.420013,2108.949951
"605","2015-07-15",276.589996,2107.399902
"606","2015-07-16",279.619995,2124.290039
"607","2015-07-17",274.049988,2126.639893
"608","2015-07-20",275.089996,2128.280029
"609","2015-07-21",276.459991,2119.209961
"610","2015-07-22",275.519989,2114.149902
"611","2015-07-23",288.369995,2102.149902
"612","2015-07-24",288.73999,2079.649902
"613","2015-07-27",293.700012,2067.639893
"614","2015-07-28",288.369995,2093.25
"615","2015-07-29",287.019989,2108.570068
"616","2015-07-30",283.730011,2108.629883
"617","2015-07-31",280.470001,2103.840088
"618","2015-08-03",284.299988,2098.040039
"619","2015-08-04",281.720001,2093.320068
"620","2015-08-05",278,2099.840088
"621","2015-08-06",277.890015,2083.560059
"622","2015-08-07",258.600006,2077.570068
"623","2015-08-10",269.029999,2104.179932
"624","2015-08-11",267.660004,2084.070068
"625","2015-08-12",263.440002,2086.050049
"626","2015-08-13",265.029999,2083.389893
"627","2015-08-14",260.519989,2091.540039
"628","2015-08-17",246.720001,2102.439941
"629","2015-08-18",226,2096.919922
"630","2015-08-19",234.660004,2079.610107
"631","2015-08-20",232.399994,2035.72998
"632","2015-08-21",229.539993,1970.890015
"633","2015-08-24",220.509995,1893.209961
"634","2015-08-25",224.970001,1867.609985
"635","2015-08-26",222.729996,1940.51001
"636","2015-08-27",231.639999,1987.660034
"637","2015-08-28",228.5,1988.869995
"638","2015-08-31",227.179993,1972.180054
"639","2015-09-01",228.630005,1913.849976
"640","2015-09-02",226.199997,1948.859985
"641","2015-09-03",230.25,1951.130005
"642","2015-09-04",233.669998,1921.219971
"643","2015-09-08",237.410004,1969.410034
"644","2015-09-09",238.080002,1942.040039
"645","2015-09-10",239.899994,1952.290039
"646","2015-09-11",235.600006,1961.050049
"647","2015-09-14",229.529999,1953.030029
"648","2015-09-15",228.600006,1978.089966
"649","2015-09-16",232.720001,1995.310059
"650","2015-09-17",232.210007,1990.199951
"651","2015-09-18",231.110001,1958.030029
"652","2015-09-21",230.009995,1966.969971
"653","2015-09-22",229.889999,1942.73999
"654","2015-09-23",233.759995,1938.76001
"655","2015-09-24",235.029999,1932.23999
"656","2015-09-25",234.300003,1931.339966
"657","2015-09-28",236.710007,1881.77002
"658","2015-09-29",235.929993,1884.089966
"659","2015-09-30",237.050003,1920.030029
"660","2015-10-01",236.710007,1923.819946
"661","2015-10-02",238.580002,1951.359985
"662","2015-10-05",246.139999,1987.050049
"663","2015-10-06",242.979996,1979.920044
"664","2015-10-07",242.580002,1995.829956
"665","2015-10-08",244.039993,2013.430054
"666","2015-10-09",245.350006,2014.890015
"667","2015-10-12",248.779999,2017.459961
"668","2015-10-13",252.330002,2003.689941
"669","2015-10-14",254.440002,1994.23999
"670","2015-10-15",262.869995,2023.859985
"671","2015-10-16",269.579987,2033.109985
